symbol,name
ABGSEC,GSECS/GILT ETF
ABSL10BANK,BSE Top 10 Banks ETF
ABSLBANETF,Nifty Bank ETF
ABSLLIQUID,Overnight ETFs and Liquid ETF
ABSLMSCIN,MSCI India ETF
ABSLNN50ET,Nifty Next 50 ETF
ABSLPSE,Nifty PSE ETF
ALPHA,NIFTY Alpha 50 ETF
ALPHAETF,Nifty 200 Alpha 30 ETF
ALPL30IETF,Nifty Alpha Low-Volatility 30 ETF
AONEGOLD,GOLD ETF
AONELIQUID,Overnight ETFs and Liquid ETF
AONENIFTY,Nifty 50 ETF
AONESILVER,SILVER ETF
AONETMMQ50,Nifty Total Market Momentum Quality 50 ETF
AONETOTAL,Nifty Total Market ETF
AUTOBEES,Nifty Auto ETF
AUTOIETF,Nifty Auto ETF
BANK10ADD,BSE Top 10 Banks ETF
BANK10BETF,BSE Top 10 Banks ETF
BANKADD,Nifty Bank ETF
BANKBEES,Nifty Bank ETF
BANKBETA,Nifty Bank ETF
BANKBETF,Nifty Bank ETF
BANKETF,Nifty Bank ETF
BANKIETF,Nifty Bank ETF
BANKNIFTY1,Nifty Bank ETF
BANKPSU,Nifty PSU Bank ETF
BBETF0432,Bond ETF
BBNPNBETF,NIFTY Bank ETF
BBNPPGOLD,GOLD ETF
BFSI,Nifty Financial Services ETF
BNKETFAXIS,Nifty Bank ETF
BSE500IETF,BSE 500 ETF
BSLGOLDETF,GOLD ETF
BSLNIFTY,Nifty 50 ETF
BSLSENETFG,BSE SENSEX ETF
CASHIETF,Overnight ETFs and Liquid ETF
CEMNTGROWW,Nifty Cements ETF
CHEMICAL,Nifty Chemicals ETF
CHOICEGOLD,GOLD ETF
COMMOIETF,Nifty Commodities ETF
CONS,Nifty India Consumption ETF
CONSUMAXIS,Nifty India Consumption ETF
CONSUMBEES,Nifty India Consumption ETF
CONSUMER,Nifty India New Age Consumption ETF
CONSUMIETF,Nifty India Consumption ETF
CPSEETF,Nifty CPSE ETF
DEFENCE,BSE India Defence ETF
DIVIDEND,BSE 500 Dividend Leaders 50 ETF
DIVOPPBEES,Nifty Dividend Opportunities 50 ETF
EBANK10,BSE Top 10 Banks ETF
EBANKNIFTY,Nifty Bank ETF
EBBETF0430,Bond ETF
EBBETF0431,Bond ETF
EBBETF0433,Bond ETF
ECAPINSURE,BSE Capital Markets & Insurance ETF
EGOLD,GOLD ETF
ELIQUID,Overnight ETFs and Liquid ETF
ELM250,Nifty LargeMidcap 250 ETF
ELMDIV,BSE LargeMid (60:40) Stable Dividend 50 ETF
EMETAL,Nifty Metal ETF
EMULTIMQ,Nifty 500 Multicap Momentum Quality 50 ETF
ENERGY,Nifty Energy ETF
ENERGYAXIS,Nifty Energy ETF
ENEXT50,Nifty Next 50 ETF
ENIFTY,Nifty 50 ETF
EQUAL200,BSE 200 Equal Weight ETF
EQUAL50,Nifty 50 Equal Weight ETF
EQUAL50ADD,NIFTY 50 Equal Weight ETF
ESENSEX,BSE Sensex ETF
ESG,Nifty 100 ESG Sector Leaders ETF
ESILVER,SILVER ETF
EVIETF,Nifty EV and New Age Automotive ETF
EVINDIA,Nifty EV and New Age Automotive ETF
FINIETF,Nifty Financial Services Ex-Bank ETF
FLEXIADD,Nifty 500 Flexicap Quality 30 ETF
FMCGADD,Nifty FMCG ETF
FMCGIETF,Nifty FMCG ETF
GILT10BETA,GSECS/GILT ETF
GILT5BETA,GSECS/GILT ETF
GILT5YBEES,GSECS/GILT ETF
GOLD1,GOLD ETF
GOLD360,GOLD ETF
GOLDADD,GOLD ETF
GOLDAXIS,GOLD ETF
GOLDBEES,GOLD ETF
GOLDBETA,GOLD ETF
GOLDBND,GOLD ETF
GOLDCASE,GOLD ETF
GOLDETF,GOLD ETF
GOLDIETF,GOLD ETF
GROWWCAPM,Nifty Capital Market ETF
GROWWCHEM,Nifty Chemicals ETF
GROWWDEFNC,Nifty India Defence ETF
GROWWEV,Nifty EV and New Age Automotive ETF
GROWWGOLD,GOLD ETF
GROWWHOSPI,BSE Hospitals ETF
GROWWLIQID,Overnight ETFs and Liquid ETF
GROWWLOVOL,Nifty 500 Low Volatility 50 ETF
GROWWMC150,Nifty Midcap 150 ETF
GROWWMETAL,Nifty Metal ETF
GROWWMOM50,Nifty 500 Momentum 50 ETF
GROWWN200,Nifty 200 ETF
GROWWNET,Nifty India Internet ETF
GROWWNIFTY,Nifty 50 ETF
GROWWNXT50,Nifty Next 50 ETF
GROWWPOWER,BSE Power ETF
GROWWPSE,Nifty PSE ETF
GROWWPSUBK,Nifty PSU Bank ETF
GROWWRAIL,Nifty India Railways PSU ETF
GROWWRLTY,Nifty Realty ETF
GROWWSC250,Nifty Smallcap 250 ETF
GROWWSLVR,SILVER ETF
GSEC10ABSL,GSECS/GILT ETF
GSEC10ADD,GSECS/GILT ETF
GSEC10IETF,GSECS/GILT ETF
GSEC10YEAR,GSECS/GILT ETF
GSEC5IETF,GSECS/GILT ETF
HDFCBSE500,BSE 500 ETF
HDFCGOLD,GOLD ETF
HDFCGROWTH,Nifty Growth Sectors 15 ETF
HDFCLIQUID,Overnight ETFs and Liquid ETF
HDFCLOWVOL,Nifty 100 Low Volatility 30 ETF
HDFCMID150,Nifty Midcap 150 ETF
HDFCMOMENT,Nifty 200 Momentum 30 ETF
HDFCNEXT50,Nifty Next 50 ETF
HDFCNIF100,Nifty 100 ETF
HDFCNIFBAN,Nifty Bank ETF
HDFCNIFIT,Nifty IT ETF
HDFCNIFTY,Nifty 50 ETF
HDFCNIMEG,Nifty Metal ETF
HDFCPSUBK,Nifty PSU Bank ETF
HDFCPVTBAN,Nifty Private Bank ETF
HDFCQUAL,Nifty 100 Quality 30 ETF
HDFCSENSEX,BSE Sensex ETF
HDFCSILVER,SILVER ETF
HDFCSML250,Nifty Smallcap 250 ETF
HDFCVALUE,Nifty 50 Value 20 ETF
HEALTHADD,Nifty Healthcare ETF
HEALTHAXIS,Nifty Healthcare ETF
